!DateTime	u10	v10	MSLP	AirT	DewT	CC
2010-01-01 00:00:00	0.552448567	-3.333028802	1010.8	1.5	0.4910754688027	0
2010-01-01 01:00:00	1.706785848	-4.698292294	1010.4	1.1	0.388354324971957	0
2010-01-01 02:00:00	0.850674112	-5.48022525	1010.1	1.3	0.292721717323799	0
2010-01-01 03:00:00	1.839821938	-4.079564537	1010	1.4	0.539947483447956	0
2010-01-01 04:00:00	1.032030413	-4.151260748	1010.1	0.8	0.0900996525503611	0
2010-01-01 05:00:00	-0.733096372	-2.523329205	1010.2	0.7	-0.009319046393768	0
2010-01-01 06:00:00	-0.747722164	-0.986755662	1010.4	-0.5	-1.05930850654142	0
2010-01-01 07:00:00	-0.261584261	-1.706056535	1010.8	-1.5	-1.91413751493072	0
2010-01-01 08:00:00	-0.193385471	-2.341597967	1011	-1.3	-1.57529914270892	0
2010-01-01 09:00:00	-0.205137733	-3.136184455	1011.4	-1.8	-2.21311029084585	0.125
2010-01-01 10:00:00	-0.497418767	-1.688857382	1012	-1.7	-2.39543904397346	0.125
2010-01-01 11:00:00	0.210372017	-1.370595909	1012.5	-0.7	-2.13595293239813	0.125
2010-01-01 12:00:00	-0.158565624	-1.839042534	1012.6	0.6	-1.15868585814799	0.125
2010-01-01 13:00:00	-0.28151763	-1.457362141	1012.6	1.5	-0.747947414831691	0.125
2010-01-01 14:00:00	0.631242371	-1.564112847	1012.6	2.3	-1.31846076282873	0.125
2010-01-01 15:00:00	1.432663319	-2.21820452	1013.1	2.2	-1.5935659619941	0.125
2010-01-01 16:00:00	-0.240908133	-1.879093123	1013.6	1.6	-1.47845440867603	0.125
2010-01-01 17:00:00	-0.068689414	-2.602873043	1014	-0.7	-2.59438359056359	0.125
2010-01-01 18:00:00	-0.358709728	-2.493891191	1014.5	-1.5	-2.77769938245165	0.125
2010-01-01 19:00:00	-0.021575889	-2.504662326	1015	-1.7	-2.39543904397346	0.125
2010-01-01 20:00:00	-0.445161515	-2.599467663	1015.3	-1.6	-2.8766444364448	0.25
2010-01-01 21:00:00	-0.045296243	-0.696852682	1015.6	-1.8	-2.78193261693787	0
2010-01-01 22:00:00	0.37998931	0.223183492	1016.1	-2.3	-2.99199041103544	0
2010-01-01 23:00:00	-0.056083149	-1.153230884	1016.4	-1.9	-2.73702718552104	0
2010-01-02 00:00:00	-0.460652979	-2.469013281	1016.8	-1	-1.69947325182988	0
2010-01-02 01:00:00	0.012291299	0.314692631	1016.9	-1	-2.43241042100809	0
2010-01-02 02:00:00	0.382862292	-0.521675379	1017.4	-0.7	-1.40120575933615	0
2010-01-02 03:00:00	0.005878374	-0.407403131	1017.6	0.2	-0.94625686301829	0
2010-01-02 04:00:00	0.021604745	-2.515522375	1017.9	-0.1	-0.661152730813544	0
2010-01-02 05:00:00	-0.165325171	-2.084667053	1018.2	-0.9	-1.31619578314783	0
2010-01-02 06:00:00	-0.042915501	-2.32583347	1018.3	-1.1	-1.37575460065077	0.125
2010-01-02 07:00:00	-0.08202807	-0.346988355	1018.4	-1.5	-1.77484406078459	0.25
2010-01-02 08:00:00	-0.477812934	0.364389033	1018.7	-2.5	-2.77257429146288	0.125
2010-01-02 09:00:00	-0.171180761	-0.739509606	1019.1	-1.5	-1.63680619570769	0.375
2010-01-02 10:00:00	0.451900694	-0.566420995	1019.3	0.3	0.0210466653550767	0.375
2010-01-02 11:00:00	1.297694345	-0.822825467	1019.7	3.7	1.2466315941873	0.375
2010-01-02 12:00:00	1.987512327	-1.569769875	1019.4	4.5	0.996102115537558	0.25
2010-01-02 13:00:00	1.107132147	-3.498730471	1019.1	4.8	1.64100373661643	0.375
2010-01-02 14:00:00	0.073304034	-1.528745437	1019.4	4.1	2.76253204229618	1
2010-01-02 15:00:00	-0.742677999	-0.331563332	1018.9	3.6	1.9561286730164	0.5
2010-01-02 16:00:00	-0.49048001	-2.402779769	1019	2.4	1.23296432039664	0.625
2010-01-02 17:00:00	-0.79596064	-3.135986658	1019.2	2.2	1.48193651090669	0.75
2010-01-02 18:00:00	-2.328563863	-2.675390919	1019.7	2.4	1.23296432039664	1
2010-01-02 19:00:00	-4.285467903	-2.390972306	1020.5	3	0.560463417115605	0.5
2010-01-02 20:00:00	-4.555463454	-2.524846262	1021.1	2.7	0.430038718389862	0.5
2010-01-02 21:00:00	-4.39488194	-2.623541684	1021.5	2.2	-0.0607759218969701	0.25
2010-01-02 22:00:00	-5.312203707	-2.627016023	1022	2	-0.419843993395552	0
2010-01-02 23:00:00	-4.646137541	-2.636532432	1022.5	1.7	-1.04384576438225	0
2010-01-03 00:00:00	-4.724168306	-2.749213645	1023.1	1.4	-0.685850178573121	0
2010-01-03 01:00:00	-5.187961178	-3.352875294	1023.2	1.2	-1.36754967854617	0
2010-01-03 02:00:00	-4.579974064	-3.063192201	1023.4	1	-1.72825992033844	0
2010-01-03 03:00:00	-4.397734153	-3.15565599	1023.6	0.9	-1.66127918178122	0
2010-01-03 04:00:00	-4.354267328	-2.848329388	1023.8	0.8	-1.92381488438075	0
2010-01-03 05:00:00	-4.535637675	-2.997088937	1023.8	0.7	-2.18787433654666	0
2010-01-03 06:00:00	-4.305773855	-3.424832671	1023.9	0.6	-2.11937343186609	0
2010-01-03 07:00:00	-4.270466673	-3.098303753	1024.3	0.6	-1.79240711962051	0
2010-01-03 08:00:00	-5.290012175	-3.209196247	1024.7	0.5	-1.72968371243411	0.125
2010-01-03 09:00:00	-6.804679303	-2.930227645	1024.8	1	-1.56336850452918	0.125
2010-01-03 10:00:00	-5.083105792	-2.5127057	1025.2	1.2	-1.36754967854617	0.125
2010-01-03 11:00:00	-5.295240181	-2.233776105	1025.7	1.7	-1.2114777711437	0.125
2010-01-03 12:00:00	-4.752177856	-2.852981715	1025.5	2.3	-0.968183548691267	0.125
2010-01-03 13:00:00	-5.141195641	-2.340306494	1025.2	2.6	-0.85069068935948	0.125
2010-01-03 14:00:00	-4.979434516	-2.175963	1025	2.9	-0.73604976639072	0.125
2010-01-03 15:00:00	-4.009929628	-2.350897956	1025	2.5	-0.77347858836783	0.125
2010-01-03 16:00:00	-4.185464013	-2.611769015	1025.2	1.7	-1.04384576438225	0.25
2010-01-03 17:00:00	-3.671708901	-2.634900909	1025.6	1	-1.23880633729508	0.125
2010-01-03 18:00:00	-3.783462727	-2.597389754	1026	0.8	-1.43515507297135	0.125
2010-01-03 19:00:00	-4.647900842	-2.303050996	1026.4	0.7	-1.53333054799083	0.125
2010-01-03 20:00:00	-3.792195188	-2.374772903	1026.6	0.6	-1.63150676114231	0
2010-01-03 21:00:00	-4.259284408	-2.423652684	1026.7	0.4	-1.9885002105498	0
2010-01-03 22:00:00	-3.873432682	-2.008157362	1026.7	0.8	-2.25847940796847	0
2010-01-03 23:00:00	-3.736225961	-2.213733168	1026.8	0.4	-2.48081181682573	0
2010-01-04 00:00:00	-0.631369539	-3.357377465	1027	0.7	-4.14834488537314	0
2010-01-04 01:00:00	0.162379326	-3.765955953	1027	-0.5	-2.71149382490133	0
2010-01-04 02:00:00	0.349658385	-3.895237668	1026.8	-1.4	-3.13003336330462	0
2010-01-04 03:00:00	0.084209672	-3.67362958	1026.9	-1.1	-3.14358081624977	0
2010-01-04 04:00:00	-0.055784308	-2.96935156	1026.4	-1.8	-3.67729172417224	0
2010-01-04 05:00:00	-0.489701826	-2.476137802	1025.9	-2.4	-3.81593620891161	0
2010-01-04 06:00:00	-0.269011515	-0.615255618	1025.6	-3	-4.40890482942047	0.625
2010-01-04 07:00:00	-0.207545316	-0.336113418	1025.2	-2.2	-3.61828386847165	0.75
2010-01-04 08:00:00	0.265759645	-0.637566111	1025.1	-2.9	-3.87301630931035	0.625
2010-01-04 09:00:00	-0.403154041	0.702838216	1024.7	-2.3	-3.56927194941099	0.75
2010-01-04 10:00:00	-0.060191014	0.395605863	1024.6	-1.5	-2.63032774321348	0.75
2010-01-04 11:00:00	-0.872316752	1.385719795	1024.1	-1.2	-2.63005116296808	0.875
2010-01-04 12:00:00	0.567303021	1.160743724	1023	0.2	-0.94625686301829	0.875
2010-01-04 13:00:00	2.724566315	0.755076819	1022	3.9	0.234541871363433	0.875
2010-01-04 14:00:00	-0.032401397	-0.25908192	1021.1	3.4	1.75878474732463	1
2010-01-04 15:00:00	-0.052056959	-0.969785972	1020	3.1	1.92631392384383	0.875
2010-01-04 16:00:00	0.680597653	-1.419185865	1019.2	2.8	1.78034222512094	0.75
2010-01-04 17:00:00	0.357561559	-0.770496844	1018.8	2.6	1.87959563856415	0.875
2010-01-04 18:00:00	0.348271462	-0.964973814	1018.1	1.8	1.37447898070424	0.875
2010-01-04 19:00:00	0.239916526	-0.070733793	1017.5	1.6	1.03097552999308	0.75
2010-01-04 20:00:00	0.498001646	-1.141336754	1016.8	2.1	1.67343647693424	0
2010-01-04 21:00:00	0.301613951	0.46431333	1015.9	2.5	2.0720444912913	0
2010-01-04 22:00:00	-0.274122424	0.35411039	1015.1	1.7	1.27482619901412	0
2010-01-04 23:00:00	0.500165564	-0.922161388	1014	1.5	1.07552021121188	0
2010-01-05 00:00:00	0.278475583	-5.922469884	1013.6	2.6	2.31575160457534	0
